hasName,hasLocation,hasAddress,hasLandmark,latitude,longitude,hasPrice,hasPhone,hasService
MEELAS By Gbappa,Mumbai,"Viento 14, Lakeshore Greens,, Taloja By Pass Road, Khoni, Thane - 421204, Lodha Palava 2",,20.156,794.632801,960,8892895043,Grocery Stores
Pramanik Provision Stores,Mumbai,"Shop No 658, Tardeo Road, Tardeo, Mumbai - 400034, Opposite Bhatiya Hospital, Kailash Nagar",,41.8664,72.40110516,753,3116109501,Grocery Stores
Rakhangi General Stores Nx,Mumbai,"Plot No 2, Kakad Estate, R G Thadani Marg, Worli, Mumbai - 400018",,70.8981,583.9683008,1266,6969596170,Grocery Stores
Marketplace,Mumbai,"Shop No. 2, Satyam Heritage,, Opp. Amber Plaza, Vijay Park,, Mira Road, Thane - 401107, Opp. Amber Plaza, Mira Road, Maharashtra 401107","401107, Opp. Amber Plaza, Mira Road, Maharashtra 401107",70.1756,394.4458777,1820,5360538157,Grocery Stores
Khetlaji Super Market,Mumbai,"Shop No 8, Swastik Regalia Building, Waghbil-thane West, Thane - 400607",,24.5735,981.5393228,648,1364971295,Grocery Stores
S P Super Bazar,Mumbai,"Shop No 98 Aadarsh Nagar Old Hill Qutres, Aarey Road, Goregaon East, Mumbai - 400065, Near Bawadi",Bawadi,46.274,109.5381985,941,1924213362,Grocery Stores
CHHEDAS,Mumbai,"Shop No 7, Ajanta Building, 3rd Cross Road,, Khar West, Mumbai - 400052, Ram Krishna Nagar  Near Khar Railway",KharRailway,50.0762,914.3215412,1556,4899085999,Grocery Stores
A 1 Super Market,Mumbai,"Surya Nagar ,, Ahilyabai Holkar Road, Vikhroli West, Mumbai - 400083, Opposite Shiv Sena Office, Sambhaji Chowk",Sambhaji Chowk,51.4343,371.9361602,1620,3511158001,Grocery Stores
Jai Bhawani Masala Mill,Mumbai,"Shop No.2, Ganga Chaya Building, Station Road, Bhayander East, Thane - 401105, Opp.Railway Reservation Counter",Railway Reservation Counter,58.3755,833.5557189,1100,3016175303,Grocery Stores
Gupta Store,Mumbai,"Shop No 13, Sion Koliwada, Sion Koliwada, Mumbai - 400022, Behind Hazara Hotel and Besides Shiv Dairy .",Shiv Dairy,38.5556,256.5994801,1916,7944785822,Grocery Stores
Shiv Shankar Dryfruit,Mumbai,"Shop-7/17,Parwati Commercial,Shivdham Complex, Station Road, Ambernath, Thane - 421501, Near Sibbu Palace",Sibbu Palace,0.2028,956.4338848,958,4578985022,Grocery Stores
Vainkho Groceries,Mumbai,"Warehouse No. 4, Sarvodya Nagar,, Jambul Road, Ambernath West, Ambernath, Thane - 421505, Jambul Phata",Phata,1.8486,466.3108635,1508,9852836483,Grocery Stores
Mauli Super Market,Mumbai,"Shop No 33, Ground Floor,, Bhau Saheb Todankar Road, Prabhadevi, Mumbai - 400013, Near Prabhadevi Railway Station",Prabhadevi Railway Station,70.9973,117.4975493,538,7247839784,Grocery Stores
The Rakhangi General Store,Mumbai,"Shop No. 4, Ratna Shree Opp Crompton Greaves Office, Century Bazar Worli, Worli Sea Face, Mumbai - 400030",umbai,98.372,164.0806658,938,2605342774,Grocery Stores
Victors Mart,Mumbai,"Direct No. 1381, Room NO. 8, Shop NO.1, NEar Ashirwad Hospital Marata Section 32. Ulhasnagar 4, Kaly, Maratha Section-32, Ulhasnagar No 4, Thane - 421004, Ashirwad Hospital","Section 32. Ulhasnagar 4, Kaly, Maratha Section-32, Ulhasnagar No 4, Thane - 421004, Ashirwad Hospital",23.5428,727.6292331,1883,3899012462,Grocery Stores
Dedhia Stores,Mumbai,"Shop Number 4 & 5, Radhakrishna Bhuvan, Arnala Road, Agashi, Palghar - 401301, Opposite Canara Bank, Near Agashi Baazar Peeth",AgashiPeeth,6.5199,585.0348811,1542,5121732111,Grocery Stores
Oswal Supermarket,Mumbai,"Mr Chintan Chheda, S L Road, Mulund West, Mumbai - 400080, Opposite to Station ,Near Sant Jalaram Bappa Market",Near Sant Jalaram Bappa Market,28.7696,340.243557,784,9211695891,Grocery Stores
M B Mart,Mumbai,"Plot No A-1, A-2, Thavar Madan Chawl, Jain Temple Road, Malad East, Mumbai - 400097, Opposite Jain Temple, Near Western Express Highway","East, Mumbai - 400097, Opposite Jain Temple, Near Western Express Highway",11.6031,157.6998301,650,4371054107,Grocery Stores
Grrovers Supermart,Mumbai,"Shop No 17, Krypton Terrace, Sayani Road, Prabhadevi, Mumbai - 400025",,66.3617,572.7054154,557,465134458,Grocery Stores
Shree Siddhanath Aapla Baza..,Mumbai,"Plot No. C-25, Mahada Colony, Sambhaji Nagar,, Badlapur East, Badlapur, Thane - 421503, Behind Aadarsh College and Near Digi 1",Behind Aadarsh College and Near Digi 1,13.2313,324.3620377,1287,7629160463,Grocery Stores
Shiv Shankar Dryfruit,Mumbai,"Shop-7/17,Parwati Commercial,Shivdham Complex, Station Road, Ambernath, Thane - 421501, Near Sibbu Palace",Sibbu Palace,31.3976,857.6199342,1512,7926475835,Grocery Stores
Vainkho Groceries,Mumbai,"Warehouse No. 4, Sarvodya Nagar,, Jambul Road, Ambernath West, Ambernath, Thane - 421505, Jambul Phata",Phata,11.05,278.301706,632,6077859260,Grocery Stores
Mauli Super Market,Mumbai,"Shop No 33, Ground Floor,, Bhau Saheb Todankar Road, Prabhadevi, Mumbai - 400013, Near Prabhadevi Railway Station",Prabhadevi Railway Station,77.2317,831.9325625,1827,6076530882,Grocery Stores
The Rakhangi General Store,Mumbai,"Shop No. 4, Ratna Shree Opp Crompton Greaves Office, Century Bazar Worli, Worli Sea Face, Mumbai - 400030",umbai,62.9135,86.61957455,668,1417237986,Grocery Stores
Victors Mart,Mumbai,"Direct No. 1381, Room NO. 8, Shop NO.1, NEar Ashirwad Hospital Marata Section 32. Ulhasnagar 4, Kaly, Maratha Section-32, Ulhasnagar No 4, Thane - 421004, Ashirwad Hospital","Section 32. Ulhasnagar 4, Kaly, Maratha Section-32, Ulhasnagar No 4, Thane - 421004, Ashirwad Hospital",66.4141,825.4794835,1092,8209433037,Grocery Stores
