hasname,hasLocation,hasAddress,hasLandmark,hasLongitude,hasLatitude,hasPrice,hasMealType,hasVegFood,hasPhone
Jahanpanah,Agra,"E 23, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,78.01154444,27.16166111,850,"""['breakfast', 'lunch', 'dinner']""",TRUE,1384592422
Rangrezz Restaurant,Agra,"E-20, Shopping Arcade, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,0,0,700,"""['breakfast', 'lunch', 'dinner']""",TRUE,4738506649
Time2Eat - Mama Chicken,Agra,"Main Market, Sadar Bazaar, Agra Cantt, Agra",Agra Cantt,78.01160797,27.16083249,500,"""['breakfast', 'lunch', 'dinner']""",TRUE,2575130820
Chokho Jeeman Marwari Jain Bhojanalya,Agra,"1/48, Delhi Gate, Station Road, Raja Mandi, Civil Lines, Agra",Civil Lines,77.99809167,27.19592778,400,"""['breakfast', 'lunch', 'dinner']""",TRUE,2571295585
Pinch Of Spice,Agra,"23/453, Opposite Sanjay Cinema, Wazipura Road, Sanjay Place, Civil Lines, Agra",Civil Lines,78.00755278,27.201725,1000,"""['breakfast', 'lunch', 'dinner']""",FALSE,9595706231
MoMo Cafe,Agra,"Courtyard by Marriott Agra, Phase 2, Fatehabad Road, Tajganj, Agra",Courtyard by Marriott Agra,0,0,2000,"""['breakfast', 'lunch', 'dinner']""",FALSE,4429538659
Peshawri - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",ITC Mughal,78.044095,27.160934,2500,"""['breakfast', 'lunch', 'dinner']""",TRUE,5728608327
Taj Bano - ITC Mughal,Agra,"ITC Mughal, Fatehabad Road, Tajganj, Agra",ITC Mughal,78.044095,27.160934,2500,"""['breakfast', 'lunch', 'dinner']""",FALSE,9442844340
G Thal,Agra,"3/20, KPS Tower, Near Tulsi Talkies, Bypass Road, Khandari, Agra",Khandari,0,0,800,"""['breakfast', 'lunch', 'dinner']""",TRUE,3224912726
Dawat-e-Nawab - Radisson Blu,Agra,"Radisson Blu, Taj East Gate Road, Tajganj, Agra",Radisson Blu,78.057044,27.163303,3600,"""['breakfast', 'lunch', 'dinner']""",TRUE,1904853516
